id,dni,first_name,last_name,phone,emergency_phone,gender,birth_date,status,lunch_sandwich,dinner_sandwich
1,12345678A,Aitor,Tilla,600111001,699111001,male,2008-05-14,not_presented,jamón,queso
2,12345679B,Jorge,Nitales,600111002,699111002,male,1995-03-22,not_presented,vegano,fuet
3,12345680C,Elsa,Patilla,600111003,699111003,female,2001-07-30,not_presented,queso,jamón
4,12345681D,Armando,Escote,600111004,699111004,male,1988-12-11,not_presented,atún,vegano
5,12345682E,Estela,Plateada,600111005,699111005,female,2006-09-21,not_presented,fuet,no quiere
6,12345683F,Débora,Melo,600111006,699111006,female,2010-01-02,not_presented,vegano,queso
7,12345684G,Zoila,Vida,600111007,699111007,female,1999-11-25,not_presented,atún,fuet
8,12345685H,Elba,Lazo,600111008,699111008,female,1990-06-09,not_presented,jamón,no quiere
9,12345686J,Susana,Oria,600111009,699111009,female,1984-08-18,not_presented,queso,vegano
10,12345687K,Luz,Cuesta,600111010,699111010,female,1977-04-15,not_presented,no quiere,fuet
11,12345688L,Salvador,Muelas,600111011,699111011,male,1993-01-25,not_presented,atún,jamón
12,12345689M,Tomás,Turbado,600111012,699111012,male,1986-05-07,not_presented,fuet,queso
13,12345690N,Monica,Gálvez,600111013,699111013,female,2002-03-18,not_presented,jamón,vegano
14,12345691P,Rosa,Melano,600111014,699111014,female,1991-06-23,not_presented,queso,atún
15,12345692Q,Pepe,Pecas,600111015,699111015,male,1983-08-02,not_presented,no quiere,fuet
16,12345693R,Hugo,DeSastre,600111016,699111016,male,1997-11-29,not_presented,jamón,queso
17,12345694S,Inés,Table,600111017,699111017,female,1985-09-09,not_presented,fuet,atún
18,12345695T,Paco,Merinas,600111018,699111018,male,1979-12-13,not_presented,vegano,no quiere
19,12345696U,Esther,Colero,600111019,699111019,female,2000-02-14,not_presented,queso,jamón
20,12345697V,Ana,Conda,600111020,699111020,female,1993-09-03,not_presented,atún,fuet
21,12345698W,María,Juana,600111021,699111021,female,1981-07-27,not_presented,no quiere,queso
22,12345699X,Óscar,Pito,600111022,699111022,male,2009-02-07,not_presented,jamón,vegano
23,12345700Y,Clara,Osura,600111023,699111023,female,1992-12-12,not_presented,queso,fuet
24,12345701Z,Héctor,Tulipa,600111024,699111024,male,1985-03-04,not_presented,fuet,atún
25,12345702A,Pancho,Lete,600111025,699111025,male,1978-07-19,not_presented,atún,no quiere
26,12345703B,Elsa,Pato,600111026,699111026,female,1996-06-16,not_presented,vegano,queso
27,12345704C,Sara,Conio,600111027,699111027,female,1987-05-22,not_presented,queso,jamón
28,12345705D,Alba,Tuerca,600111028,699111028,female,1994-04-12,not_presented,no quiere,fuet
29,12345706E,Pedro,Picapiedra,600111029,699111029,male,1998-01-01,not_presented,jamón,vegano
30,12345707F,Carmen,Asada,600111030,699111030,female,2003-10-20,not_presented,atún,queso
31,12345708G,Leo,ParDo,600111031,699111031,male,1990-05-17,not_presented,queso,no quiere
32,12345709H,Nora,Liza,600111032,699111032,female,1976-03-11,not_presented,fuet,jamón
33,12345710J,Lola,Mento,600111033,699111033,female,1995-12-30,not_presented,atún,vegano
34,12345711K,Camilo,Sesto,600111034,699111034,male,1975-07-07,not_presented,no quiere,queso
35,12345712L,Juan,Tenorio,600111035,699111035,male,1982-11-06,not_presented,fuet,atún
36,12345713M,Elena,Nito,600111036,699111036,female,2004-09-29,not_presented,jamón,queso
37,12345714N,Luis,Cito,600111037,699111037,male,1989-10-24,not_presented,vegano,fuet
38,12345715P,Carla,Melo,600111038,699111038,female,1991-06-14,not_presented,no quiere,jamón
39,12345716Q,Tomás,Fuertes,600111039,699111039,male,1997-03-03,not_presented,queso,atún
40,12345717R,Candela,Rojas,600111040,699111040,female,1999-08-15,not_presented,atún,no quiere
41,12345718S,Arturo,Fino,600111041,699111041,male,2005-06-26,not_presented,fuet,vegano
42,12345719T,Laura,Palos,600111042,699111042,female,1977-09-19,not_presented,jamón,queso
43,12345720U,Lucas,Tornillo,600111043,699111043,male,1996-02-08,not_presented,no quiere,atún
44,12345721V,Silvia,Pando,600111044,699111044,female,1984-04-21,not_presented,atún,fuet
45,12345722W,Julián,Mañas,600111045,699111045,male,1992-12-02,not_presented,queso,no quiere
46,12345723X,Patricia,Nuez,600111046,699111046,female,1986-11-11,not_presented,vegano,queso
47,12345724Y,César,Serrano,600111047,699111047,male,1978-01-17,not_presented,fuet,jamón
48,12345725Z,Isabel,Mora,600111048,699111048,female,1993-03-13,not_presented,queso,atún
49,12345726A,Álvaro,Rizo,600111049,699111049,male,1987-07-05,not_presented,jamón,vegano
50,12345727B,Julia,Cañas,600111050,699111050,female,2002-04-04,not_presented,atún,no quiere
51,12345728C,David,Guapo,600111051,699111051,male,1981-05-05,not_presented,no quiere,queso
52,12345729D,Claudia,Lago,600111052,699111052,female,1990-10-01,not_presented,queso,fuet
53,12345730E,Francisco,Cañas,600111053,699111053,male,1998-12-09,not_presented,vegano,atún
54,12345731F,Rebeca,Suárez,600111054,699111054,female,1983-08-30,not_presented,jamón,no quiere
55,12345732G,Antonio,López,600111055,699111055,male,2007-07-14,not_presented,atún,queso
56,12345733H,Sofía,Reyes,600111056,699111056,female,1994-06-12,not_presented,queso,vegano
57,12345734J,Diego,Fuentes,600111057,699111057,male,1982-03-28,not_presented,no quiere,fuet
58,12345735K,Celia,Montes,600111058,699111058,female,1997-11-15,not_presented,fuet,jamón
59,12345736L,Marcos,Ruiz,600111059,699111059,male,1976-12-12,not_presented,vegano,atún
60,12345737M,Ana,Botella,600111060,699111060,female,2000-01-10,not_presented,jamón,no quiere
61,12345738N,Sergio,Ramos,600111061,699111061,male,1989-02-25,not_presented,queso,fuet
62,12345739P,Lucía,Flores,600111062,699111062,female,1978-09-09,not_presented,no quiere,atún
63,12345740Q,Ramón,Rato,600111063,699111063,male,1991-04-16,not_presented,atún,vegano
64,12345741R,Verónica,López,600111064,699111064,female,1995-03-22,not_presented,fuet,queso
65,12345742S,Mario,Castro,600111065,699111065,male,1984-11-29,not_presented,queso,no quiere
66,12345743T,Paula,Cruz,600111066,699111066,female,1993-05-19,not_presented,jamón,fuet
67,12345744U,Roberto,Núñez,600111067,699111067,male,1979-06-23,not_presented,atún,queso
68,12345745V,Alicia,Delgado,600111068,699111068,female,1988-07-01,not_presented,vegano,jamón
69,12345746W,Manuel,Vega,600111069,699111069,male,2005-02-03,not_presented,no quiere,atún
70,12345747X,Carmen,Peña,600111070,699111070,female,1986-08-28,not_presented,fuet,queso
